model,site,horizon_hours,rmse_mean,rmse_std,rmse_day_mean,rmse_day_std,skill_day_mean,skill_day_std,pers_rmse_day,n_seeds
ResNet+LSTM (Optuna v2),elpaso,6.0,153.60559644718646,,208.63053214091363,,0.6309557194041271,,565.3265559462145,1
ResNet+LSTM (Optuna v2),elpaso,1.0,213.95104776706913,22.717814275558,230.4047270653836,6.425525023460401,-0.126955900745371,0.031428536353426656,204.44875164413472,4
ResNet+LSTM (Optuna v2),uniandes,3.0,213.79827544043778,31.068782806978387,259.10356475398527,10.93387800208814,0.3602584452785452,0.02699637158150289,405.0128725291247,4
ResNet+LSTM (Optuna v2),uniandes,6.0,237.6258830466121,9.543657391498053,288.45495506821476,4.020728279567115,0.38747243580065516,0.008537925440761597,470.92567245567665,2
ResNet+LSTM (Optuna v2),uniandes,1.0,186.9520186628297,24.981324308520207,257.5696307838602,17.14642122807835,0.12355175431268778,0.05834519682864194,293.87888224007196,4
GraphSAGE+LSTM (Optuna v2),uniandes,1.0,170.18488124968846,,250.48988813758635,,0.1476424361347668,,293.87888224007196,1
SARIMA,elpaso,1.0,559.4758412490158,,551.3248500831394,,-1.7136565574696943,,,1
SARIMA,elpaso,3.0,559.2856560399605,,551.0568691064802,,-0.33744568837714595,,,1
SARIMA,elpaso,6.0,558.4830641886138,,550.0112633523718,,0.025206170500369995,,,1
SARIMA,uniandes,1.0,175.91010369937695,,262.5663996446924,,0.1037186765439988,,,1
SARIMA,uniandes,3.0,175.1959002932012,,260.7573013251687,,0.36384117111791126,,,1
SARIMA,uniandes,6.0,176.42181721874425,,261.1048303913995,,0.4443338511857886,,,1
Persistence,elpaso,1.0,,,204.44875164413472,,0.0,,204.44875164413472,1
Persistence,elpaso,3.0,,,411.01905686516415,,0.0,,411.01905686516415,1
Persistence,elpaso,6.0,,,565.3265559462145,,0.0,,565.3265559462145,1
Persistence,uniandes,1.0,,,293.87888224007196,,0.0,,293.87888224007196,1
Persistence,uniandes,3.0,,,405.01287252912476,,0.0,,405.01287252912476,1
Persistence,uniandes,6.0,,,470.43433095541207,,0.0,,470.43433095541207,1
